"Current_Player","Historical_Player","Historical_Year","Distance","Similarity_Score"
"Christian Braun","Frank Kaminsky",2016,0.280442914262931,96.46
"Naji Marshall","Omri Casspi",2014,0.289501194591881,96.35
"Caleb Martin","Bryon Russell",2002,0.329411357315304,95.81
"Dennis Smith Jr.","John Starks",1991,0.335764722108502,95.76
"Trendon Watford","Spencer Hawes",2017,0.345897412524879,95.64
"Andrew Wiggins","Tim Thomas",2005,0.346908545170988,95.61
"Moses Moody","Chase Budinger",2012,0.347785618521937,95.64
"Zeke Nnaji","Calvin Booth",2003,0.349079674203917,95.53
"Cam Reddish","Justin Holiday",2016,0.350029760385804,95.48
"Skylar Mays","Kerry Kittles",2005,0.351860137909229,95.49
"Chris Duarte","Justin Holiday",2016,0.357176398740545,95.41
"Ochai Agbaji","Christian Eyenga",2011,0.357379801599518,95.39
"Jae'Sean Tate","Jonas Jerebko",2017,0.358525872555564,95.4
"Kris Murray","Victor Claver",2013,0.358921786972459,95.39
"Trevelin Queen","Pace Mannion",1988,0.361106630054623,95.33
"Jalen Wilson","Robbie Hummel",2015,0.363744339032852,95.36
"Xavier Tillman Sr.","Kenyon Martin",2012,0.365479126641534,95.34
"Shake Milton","Matt Carroll",2009,0.36572990331582,95.27
"Duop Reath","Linas Kleiza",2007,0.368010448837615,95.39
"Davion Mitchell","Rex Walters",1995,0.368916855756719,95.3
"Bruce Brown","Mark Aguirre",1993,0.369326224917369,95.3
"Landry Shamet","Cartier Martin",2014,0.370616920383088,95.25
"Patrick Williams","Sam Mack",1996,0.371043609633531,95.28
"Terance Mann","Ira Newble",2003,0.372238270227862,95.33
"Jose Alvarado","Earl Watson",2006,0.375185565262839,95.28
"Jaime Jaquez Jr.","Dion Glover",2003,0.37525288342824,95.27
"Blake Wesley","Howard Eisley",1996,0.377112250933262,95.14
"Marcus Morris","Jaren Jackson",2002,0.379982404231182,95.17
"Toumani Camara","Vladimir Radmanovic",2007,0.382364843391884,95.13
"Josh Green","Vladimir Radmanovic",2008,0.382574771383881,95.13
"Rayan Rupert","Sergei Monia",2006,0.383353943790955,95.14
"Dyson Daniels","Kyle Weaver",2009,0.385632249793104,95.17
"MarJon Beauchamp","Gary Forbes",2011,0.386253365762927,95.04
"Craig Porter Jr.","Shaun Livingston",2011,0.387349582014331,95.13
"Wesley Matthews","James Jones",2009,0.387555371709727,95.03
"Onuralp Bitim","Wayne Ellington",2012,0.389696651610342,95.05
"Dario Šarić","Austin Croshere",2006,0.390445832656526,95.12
"Max Christie","Mario Hezonja",2016,0.390583551577561,94.95
"Kevin Huerter","Marvin Williams",2013,0.392538408614866,95.06
"Aaron Holiday","Leandro Barbosa",2005,0.393773236398969,95.01
"Anthony Black","Kyle Weaver",2009,0.39735974326125,94.91
"Cole Anthony","Kelly Olynyk",2016,0.397648679735084,95.04
"Kenrich Williams","Scott Padgett",2005,0.397788584412972,95
"Isaac Okoro","Marvin Williams",2011,0.398469647093149,94.99
"Orlando Robinson","Jeff Ayres",2013,0.398728363788577,94.99
"Dominick Barlow","Joe Smith",2009,0.399590593345192,94.98
"Justin Champagnie","Bobby Jones",2008,0.399610398530186,94.93
"Derrick Jones Jr.","Bojan Bogdanovic",2015,0.399794909269879,94.96
"Gary Payton II","Christian Laettner",2005,0.399902658675842,95.04
"Bruno Fernando","Oliver Miller",1997,0.402886974503099,94.93
"Killian Hayes","Norris Cole",2015,0.403843970434182,94.82
"Jock Landale","Justin Hamilton",2015,0.404233307985395,94.95
"Trent Forrest","Kevin Pritchard",1991,0.404326953725852,94.81
"Ousmane Dieng","Jordan Farmar",2007,0.404522130920935,94.8
"Lonnie Walker IV","Langston Galloway",2017,0.404555967674465,94.9
"Cameron Johnson","Wesley Person",1997,0.404717713267026,94.98
"Torrey Craig","Mike Miller",2011,0.404721531769699,94.88
"A.J. Lawson","K.J. McDaniels",2017,0.404738015239734,94.81
"Anthony Gill","Austin Croshere",2008,0.405789259005019,94.79
"Lester Quiñones","Vladimir Radmanovic",2007,0.40830940636071,94.78
"Lester Quinones","Bobby Jones",2008,0.409613022337488,94.77
"Patrick Beverley","Bobby Jackson",2008,0.410443990414653,94.82
"Reggie Jackson","Gerald Wilkins",1997,0.412588614690099,94.76
"James Wiseman","Greg Smith",2013,0.412640965497865,94.8
"Furkan Korkmaz","Richard Jefferson",2013,0.412676999449022,94.68
"Marcus Sasser","Damon Jones",2001,0.41327817770439,94.74
"Ayo Dosunmu","Courtney Lee",2014,0.413362439314044,94.8
"Drew Eubanks","Trevor Booker",2011,0.413510916574875,94.83
"Danilo Gallinari","Cedric Ceballos",2001,0.41366942396881,94.76
"Jabari Walker","Jon Leuer",2016,0.413732315997623,94.77
"Oshae Brissett","Pete Chilcutt",1997,0.413872670200144,94.78
"Julian Champagnie","Caris LeVert",2017,0.41416442580253,94.73
"Pat Connaughton","Cartier Martin",2014,0.414391411344234,94.75
"Kenneth Lofton Jr.","Gerald Fitch",2006,0.414687609269776,94.62
"Haywood Highsmith","Patrick Patterson",2017,0.4158458336966,94.77
"Georges Niang","Evan Fournier",2014,0.416382846646927,94.71
"Josh Okogie","James Ennis",2015,0.416440887176632,94.73
"Jeremiah Robinson-Earl","Kelenna Azubuike",2007,0.417526418461415,94.7
"Dalano Banton","Morris Almond",2009,0.417623414772745,94.57
"Brandin Podziemski","Jumaine Jones",2003,0.417811068809296,94.77
"Javon Freeman-Liberty","Donte Greene",2012,0.418193012066667,94.66
"Jamal Cain","Bracey Wright",2007,0.41833520727273,94.66
"Kentavious Caldwell-Pope","Courtney Lee",2009,0.418837319899321,94.74
"Evan Fournier","Willie Green",2015,0.419325428193078,94.63
"Kevin Knox","K.J. McDaniels",2017,0.419613966835082,94.61
"Bryce McGowens","Mickael Gelabale",2007,0.419858935419783,94.61
"Nassir Little","Robbie Hummel",2015,0.419916192942124,94.65
"Johnny Davis","Perry Jones",2015,0.420019199379346,94.57
"Josh Richardson","Kyle Korver",2008,0.42206025094563,94.67
"Colby Jones","Andrew Nicholson",2017,0.422372457746549,94.51
"De'Andre Hunter","Bojan Bogdanovic",2017,0.422648493791492,94.66
"Miles McBride","Terrence Ross",2017,0.422764719328072,94.76
"Cameron Payne","Isaiah Canaan",2015,0.423375284969166,94.65
"Derrick Rose","Beno Udrih",2013,0.424228367309739,94.59
"Cedi Osman","Anthony Tolliver",2017,0.424317192349225,94.64
"Jordan Hawkins","Langston Galloway",2017,0.425388681480525,94.62
"Brice Sensabaugh","Al Harrington",2014,0.425565165645185,94.56
"Maxi Kleber","Jamario Moon",2011,0.425698385269826,94.6
"John Konchar","Matt Barnes",2008,0.426105784419958,94.61
"Malaki Branham","E'Twaun Moore",2013,0.427633560051441,94.6
"Jaylen Nowell","John Jenkins",2016,0.427677698999267,94.53
"Kelly Oubre Jr.","Tim Thomas",2002,0.428131601639673,94.62
"Garrett Temple","Emanual Davis",2003,0.429393614187611,94.51
"Cody Zeller","Sidney Green",1993,0.430959430978817,94.51
"Luke Kennard","Steve Blake",2010,0.431001591573207,94.59
"Sasha Vezenkov","Cartier Martin",2014,0.431351709544625,94.58
"Bennedict Mathurin","MarShon Brooks",2012,0.432514534319275,94.54
"Jae Crowder","Cartier Martin",2014,0.434756803633542,94.45
"Brandon Boston Jr.","Earl Clark",2014,0.435751840874488,94.38
"Micah Potter","Josh Harrellson",2014,0.435772931916226,94.45
"Ziaire Williams","Linas Kleiza",2012,0.43586995896624,94.45
"Eugene Omoruyi","Zoran Planinic",2005,0.439967517772878,94.44
"DeAndre Jordan","Udonis Haslem",2014,0.440811992818933,94.49
"De'Anthony Melton","Carlos Delfino",2011,0.440948193814337,94.49
"Patrick Baldwin Jr.","Mickael Pietrus",2011,0.441521612107214,94.3
"Olivier-Maxence Prosper","Will Barton",2014,0.44209244374005,94.37
"Jaden Hardy","Jordan Crawford",2014,0.44340198736815,94.39
"Markelle Fultz","Randolph Keys",1990,0.444073966577116,94.36
"Bradley Beal","Goran Dragic",2015,0.444822193795502,94.51
"Leaky Black","Treveon Graham",2017,0.446055192487957,94.32
"Yuta Watanabe","Earl Clark",2014,0.446701929812444,94.25
"Luka Šamanić","David Andersen",2011,0.447172593326255,94.29
"Vince Williams Jr.","Anthony Tolliver",2010,0.447373809346878,94.37
"Nick Smith Jr.","Adam Morrison",2009,0.447749093203285,94.28
"Seth Curry","Jerry Stackhouse",2012,0.447759947312365,94.27
"Richaun Holmes","Major Jones",1984,0.448142978871265,94.32
